States/UT,2016,2017,2018,2019,2020,2021,Latitude,Longitude
Jammu & Kashmir,1421,1516,1618,12675,13012,13354,34.29995933,74.46665849
Himachal Pradesh,613,647,681,8589,8799,8978,31.10002545,77.16659704
Punjab,3321,3503,3694,37744,38636,39521,31.51997398,75.98000281
Chandigarh,196,207,219,994,1024,1053,30.71999697,76.78000565
Uttaranchal,1217,1298,1384,11216,11482,11779,30.32040895,78.05000565
Haryana,3103,3308,3526,28453,29219,30015,28.45000633,77.01999101
Delhi,3181,3351,3530,24436,25178,25969,28.6699929,77.23000403
Rajasthan,7536,7996,8483,69156,70987,72825,26.44999921,74.63998124
Uttar Pradesh,21376,22737,24181,196652,201319,206088,27.59998069,78.05000565
Bihar,9958,10644,11378,101014,103711,106435,25.78541445,87.4799727
Sikkim,30,30,31,443,445,465,27.3333303,88.6166475
Arunachal Pradesh,82,84,85,1015,1035,1064,27.10039878,93.61660071
Nagaland,67,67,68,1719,1768,1805,25.6669979,94.11657019
Manipur,273,281,289,1844,1899,2022,24.79997072,93.95001705
Mizoram,97,99,101,1783,1837,1919,23.71039899,92.72001461
Tripura,129,130,132,2507,2574,2623,23.83540428,91.27999914
Meghalaya,104,106,108,2808,2879,2943,25.57049217,91.8800142
Assam,2406,2437,2467,36948,37880,38834,26.7499809,94.21666744
West Bengal,10902,11550,12234,105814,108394,110972,22.58039044,88.32994665
Jharkhand,3716,3962,4225,33045,33961,34910,23.80039349,86.41998572
Orissa,4205,4448,4705,49604,50692,51829,19.82042971,85.90001746
Chhattisgarh,2944,3145,3359,27113,27828,28529,22.09042035,82.15998734
Madhya Pradesh,8334,8858,9414,75911,77888,79871,21.30039105,76.13001949
Gujarat,8001,8504,9039,67841,69660,71507,23.13,72.41
Daman & Diu,42,47,52,118,124,135,20.3974,72.8328
Dadra & Nagar Haveli,54,61,68,186,206,219,20.26657819,73.0166178
Maharashtra,14726,15522,16358,113374,116121,118906,19.25023195,73.16017493
Telangana,4633,4918,5220,46464,47620,48775,17.366,78.475
Andhra Pradesh,5901,6251,6620,68883,70424,71970,15.9104291,79.74700256
Karnataka,8029,8527,9055,83824,85968,88126,12.57038129,76.91999711
Goa,233,247,262,1591,1618,1652,15.491997,73.81800065
Lakshadweep,14,15,17,27,27,28,10.56257331,72.63686717
Kerala,5682,6189,6748,56148,57155,58139,8.900372741,76.56999263
Tamil Nadu,9486,9870,10269,86596,88866,91184,12.92038576,79.15004187
Pondicherry,227,242,257,1523,1577,1623,11.93499371,79.83000037
Andaman & Nicobar Islands,44,45,47,357,366,380,11.66702557,92.73598262
Total,142283,150842,159924,1358415,1392179,1426447,,